ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
300724.SZ,20260427,20260331,蒋泽宇,8600326.0,2.4693,2.9892,0.0,自然人
300724.SZ,20260427,20260331,左国军,6540679.0,1.8779,2.2733,0.0,自然人
300724.SZ,20260427,20260331,余仲,6450608.0,1.8521,2.242,2650500.0,自然人
300724.SZ,20260427,20260331,梁美珍,6307037.0,1.8108,2.1921,0.0,自然人
300724.SZ,20260427,20260331,李时俊,6133330.0,1.761,2.1317,0.0,自然人
300724.SZ,20260427,20260331,伍波,5326015.0,1.5292,1.8511,-1844800.0,自然人
300724.SZ,20260427,20260331,香港中央结算有限公司,4557816.0,1.3086,1.5841,-534101.0,一般企业
300724.SZ,20260427,20260331,张勇,3604344.0,1.0349,1.2528,35436.0,自然人
300724.SZ,20260427,20260331,中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金,2652065.0,0.7614,0.9218,-2534632.0,开放式投资基金
300724.SZ,20260427,20260331,杨林,2500000.0,0.7178,0.8689,,自然人
300724.SZ,20260427,20251231,蒋泽宇,8600326.0,2.4693,2.9892,0.0,自然人
300724.SZ,20260427,20251231,伍波,7170815.0,2.0589,2.4923,69800.0,自然人
300724.SZ,20260427,20251231,左国军,6540679.0,1.8779,2.2733,0.0,自然人
300724.SZ,20260427,20251231,梁美珍,6307037.0,1.8108,2.1921,0.0,自然人
300724.SZ,20260427,20251231,李时俊,6133330.0,1.761,2.1317,-2936372.0,自然人
300724.SZ,20260427,20251231,中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金,5186697.0,1.4892,1.8027,-412336.0,开放式投资基金
300724.SZ,20260427,20251231,香港中央结算有限公司,5091917.0,1.462,1.7698,-3298753.0,一般企业
300724.SZ,20260427,20251231,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,4207151.0,1.2079,1.4623,-31600.0,开放式投资基金
300724.SZ,20260427,20251231,余仲,3800108.0,1.0911,1.3208,0.0,自然人
300724.SZ,20260427,20251231,张勇,3568908.0,1.0247,1.2404,229544.0,自然人
300724.SZ,20251028,20250930,梁美珍,6307037.0,1.8139,2.1965,0.0,自然人
300724.SZ,20251028,20250930,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,4238751.0,1.219,1.4762,,开放式投资基金
300724.SZ,20251028,20250930,张勇,3339364.0,0.9604,1.163,-5623236.0,自然人
300724.SZ,20251028,20250930,中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金,5599033.0,1.6102,1.95,-935282.0,开放式投资基金
300724.SZ,20251028,20250930,李时俊,9069702.0,2.6084,3.1587,0.0,自然人
300724.SZ,20251028,20250930,香港中央结算有限公司,8390670.0,2.4131,2.9222,-3934.0,一般企业
300724.SZ,20251028,20250930,余仲,3800108.0,1.0929,1.3235,-3534000.0,自然人
300724.SZ,20251028,20250930,伍波,7101015.0,2.0422,2.473,-1090600.0,自然人
300724.SZ,20251028,20250930,蒋泽宇,8600326.0,2.4734,2.9952,-5625000.0,自然人
300724.SZ,20251028,20250930,左国军,6540679.0,1.8811,2.2779,0.0,自然人
300724.SZ,20250828,20250630,余仲,7334108.0,2.1092,2.5542,0.0,自然人
300724.SZ,20250828,20250630,左国军,6540679.0,1.8811,2.2779,0.0,自然人
300724.SZ,20250828,20250630,梁美珍,6307037.0,1.8139,2.1965,0.0,自然人
300724.SZ,20250424,20250331,左国军,6540679.0,1.881,2.2778,0.0,自然人
300724.SZ,20250424,20250331,余仲,7334108.0,2.1092,2.5541,0.0,自然人
300724.SZ,20250424,20250331,梁美珍,6307037.0,1.8139,2.1964,0.0,自然人
300724.SZ,20250424,20250331,蒋泽宇,14225326.0,4.0911,4.954,0.0,自然人
300724.SZ,20250424,20250331,李时俊,9069702.0,2.6084,3.1585,0.0,自然人
300724.SZ,20250424,20250331,张勇,9002600.0,2.5891,3.1352,121300.0,自然人
300724.SZ,20250424,20250331,伍波,8191615.0,2.3558,2.8527,0.0,自然人
300724.SZ,20250424,20250331,中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金,6699050.0,1.9266,2.333,-526600.0,开放式投资基金
300724.SZ,20250424,20250331,珠海横琴富海银涛叁号股权投资基金合伙企业(有限合伙),5386998.0,1.5493,1.876,0.0,风险投资公司
300724.SZ,20250424,20250331,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,3539951.0,1.0181,1.2328,,开放式投资基金
300724.SZ,20250424,20241231,蒋泽宇,14225326.0,4.0911,4.9584,0.0,自然人
300724.SZ,20250424,20241231,李时俊,9069702.0,2.6084,3.1614,,自然人
300724.SZ,20250424,20241231,伍波,8191615.0,2.3558,2.8553,,自然人
300724.SZ,20250424,20241231,中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金,7225650.0,2.078,2.5186,364212.0,开放式投资基金
300724.SZ,20250424,20241231,珠海横琴富海银涛叁号股权投资基金合伙企业(有限合伙),5386998.0,1.5493,1.8777,-1209700.0,风险投资公司
300724.SZ,20250424,20241231,香港中央结算有限公司,4331649.0,1.2457,1.5099,-795656.0,一般企业
300724.SZ,20250424,20241231,左国军,6540679.0,1.881,2.2798,0.0,自然人
300724.SZ,20250424,20241231,余仲,7334108.0,2.1092,2.5564,0.0,自然人
300724.SZ,20250424,20241231,梁美珍,6307037.0,1.8139,2.1984,0.0,自然人
300724.SZ,20250424,20241231,张勇,8881300.0,2.5542,3.0957,-669500.0,自然人
300724.SZ,20241029,20240930,张勇,9550800.0,2.7431,3.4839,240000.0,自然人
300724.SZ,20241029,20240930,余仲,7334108.0,2.1064,2.6753,0.0,自然人
300724.SZ,20241029,20240930,左国军,6540679.0,1.8786,2.3859,0.0,自然人
300724.SZ,20241029,20240930,梁美珍,6307037.0,1.8115,2.3007,0.0,自然人
300724.SZ,20241029,20240930,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,5017704.0,1.4411,1.8304,709300.0,开放式投资基金
