ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
688122.SH,20260429,20260331,西北有色金属研究院,136151200.0,20.9571,20.9572,0.0,院校—研究院
688122.SH,20260429,20260331,中信金属股份有限公司,77250613.0,11.8908,11.8908,0.0,一般企业
688122.SH,20260429,20260331,西安工业投资集团有限公司,24268272.0,3.7355,3.7355,0.0,投资公司
688122.SH,20260429,20260331,永春天汇科技投资股份有限公司,20708200.0,3.1875,3.1875,-1321800.0,投资公司
688122.SH,20260429,20260331,全国社保基金一一二组合,18180878.0,2.7985,2.7985,-1700000.0,社保基金、社保机构
688122.SH,20260429,20260331,招商银行股份有限公司-华夏上证科创板50成份交易型开放式指数证券投资基金,15724943.0,2.4204,2.4205,-2036635.0,开放式投资基金
688122.SH,20260429,20260331,产业投资基金有限责任公司,9466987.0,1.4572,1.4572,0.0,风险投资公司
688122.SH,20260429,20260331,中国工商银行股份有限公司-易方达上证科创板50成份交易型开放式指数证券投资基金,8569545.0,1.319,1.3191,-8012456.0,开放式投资基金
688122.SH,20260429,20260331,香港中央结算有限公司,8486052.0,1.3062,1.3062,-992287.0,一般企业
688122.SH,20260429,20260331,中国建设银行股份有限公司-富国中证军工龙头交易型开放式指数证券投资基金,6439575.0,0.9912,0.9912,,开放式投资基金
688122.SH,20260424,20251231,西北有色金属研究院,136151200.0,20.9571,20.9572,0.0,院校—研究院
688122.SH,20260424,20251231,中信金属股份有限公司,77250613.0,11.8908,11.8908,0.0,一般企业
688122.SH,20260424,20251231,西安工业投资集团有限公司,24268272.0,3.7355,3.7355,-963800.0,投资公司
688122.SH,20260424,20251231,永春天汇科技投资股份有限公司,22030000.0,3.3909,3.391,0.0,投资公司
688122.SH,20260424,20251231,全国社保基金一一二组合,19880878.0,3.0601,3.0602,-700000.0,社保基金、社保机构
688122.SH,20260424,20251231,招商银行股份有限公司-华夏上证科创板50成份交易型开放式指数证券投资基金,17761578.0,2.7339,2.734,1683924.0,开放式投资基金
