ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
300748.SZ,20260429,20260331,江西锐德企业管理有限公司,387100160.0,28.1407,34.2557,0.0,一般企业
300748.SZ,20260429,20260331,HKSCCNOMINEESLIMITED,234763716.0,17.0664,,0.0,一般企业
300748.SZ,20260429,20260331,赣州工业投资控股集团有限公司,69120000.0,5.0248,6.1166,0.0,投资公司
300748.SZ,20260429,20260331,香港中央结算有限公司,44816275.0,3.258,3.9659,-7700590.0,一般企业
300748.SZ,20260429,20260331,金风投资控股有限公司,15133986.0,1.1002,1.3393,-1995435.0,投资公司
300748.SZ,20260429,20260331,赣州欣盛投资管理中心(有限合伙),10006470.0,0.7274,0.8855,0.0,投资公司
300748.SZ,20260429,20260331,赣州格硕投资管理中心(有限合伙),8603174.0,0.6254,0.7613,0.0,投资公司
300748.SZ,20260429,20260331,中国工商银行股份有限公司-南方中证申万有色金属交易型开放式指数证券投资基金,8575568.0,0.6234,0.7589,,开放式投资基金
300748.SZ,20260429,20260331,江西金力永磁科技股份有限公司-2025年A股员工持股计划,8015784.0,0.5827,0.7093,0.0,其他金融产品
300748.SZ,20260429,20260331,中国建设银行股份有限公司-嘉实中证稀土产业交易型开放式指数证券投资基金,7830127.0,0.5692,0.6929,,开放式投资基金
300748.SZ,20260326,20251231,江西锐德企业管理有限公司(曾用名“江西瑞德创业投资有限公司”),387100160.0,28.1407,34.2557,0.0,一般企业
300748.SZ,20260326,20251231,HKSCCNOMINEESLIMITED,234763716.0,17.0664,,7122916.0,一般企业
300748.SZ,20260326,20251231,赣州工业投资控股集团有限公司,69120000.0,5.0248,6.1166,0.0,投资公司
300748.SZ,20260326,20251231,香港中央结算有限公司,52516865.0,3.8178,4.6474,4811276.0,一般企业
300748.SZ,20260326,20251231,金风投资控股有限公司,17129421.0,1.2452,1.5158,-21756193.0,投资公司
300748.SZ,20260326,20251231,中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金,12950560.0,0.9415,1.146,199558.0,开放式投资基金
300748.SZ,20260326,20251231,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,10221723.0,0.7431,0.9046,220800.0,开放式投资基金
300748.SZ,20260326,20251231,赣州欣盛投资管理中心(有限合伙),10006470.0,0.7274,0.8855,0.0,投资公司
300748.SZ,20260326,20251231,赣州格硕投资管理中心(有限合伙),8603174.0,0.6254,0.7613,0.0,投资公司
300748.SZ,20260326,20251231,江西金力永磁科技股份有限公司-2025年A股员工持股计划,8015784.0,0.5827,0.7093,0.0,其他金融产品
300748.SZ,20260326,20251231,江西锐德企业管理有限公司,387100160.0,28.1407,34.2557,0.0,一般企业
300748.SZ,20251021,20250930,HKSCCNOMINEESLIMITED,227640800.0,16.6347,,0.0,一般企业
300748.SZ,20251021,20250930,香港中央结算有限公司,47705589.0,3.4861,4.2192,41402417.0,一般企业
300748.SZ,20251021,20250930,金风投资控股有限公司,38885614.0,2.8415,3.4392,-13721319.0,投资公司
300748.SZ,20251021,20250930,江西瑞德创业投资有限公司,387100160.0,28.2872,34.2362,0.0,风险投资公司
300748.SZ,20251021,20250930,赣州工业投资控股集团有限公司,69120000.0,5.0509,6.1132,0.0,投资公司
300748.SZ,20250820,20250630,江西瑞德创业投资有限公司,387100160.0,28.2116,34.1256,0.0,风险投资公司
300748.SZ,20250820,20250630,HKSCCNOMINEESLIMITED,227640800.0,16.5903,,0.0,一般企业
300748.SZ,20250820,20250630,赣州工业投资控股集团有限公司,69120000.0,5.0374,6.0934,0.0,投资公司
300748.SZ,20250820,20250630,陕西煤业股份有限公司,53631950.0,3.9087,4.728,0.0,一般企业
300748.SZ,20250820,20250630,金风投资控股有限公司,52606933.0,3.834,4.6377,0.0,投资公司
300748.SZ,20250820,20250630,赣州欣盛投资管理中心(有限合伙),23536435.0,1.7153,2.0749,0.0,投资公司
300748.SZ,20250820,20250630,中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金,14972276.0,1.0912,1.3199,-1851954.0,开放式投资基金
300748.SZ,20250820,20250630,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,10216023.0,0.7445,0.9006,-293100.0,开放式投资基金
300748.SZ,20250820,20250630,赣州格硕投资管理中心(有限合伙),8603174.0,0.627,0.7584,0.0,投资公司
300748.SZ,20250820,20250630,香港中央结算有限公司,6303172.0,0.4594,0.5557,-3069867.0,一般企业
300748.SZ,20250428,20250331,赣州欣盛投资管理中心(有限合伙),23536435.0,1.7153,2.0749,0.0,投资公司
300748.SZ,20250329,20241231,HKSCCNOMINEESLIMITED,227640800.0,16.5903,,26895200.0,一般企业
300748.SZ,20250329,20241231,赣州工业投资控股集团有限公司,69120000.0,5.0374,6.0934,0.0,投资公司
300748.SZ,20250329,20241231,赣州欣盛投资管理中心(有限合伙),23536435.0,1.7153,2.0749,0.0,投资公司
300748.SZ,20250329,20241231,中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金,16545776.0,1.2058,1.4586,-101936.0,开放式投资基金
300748.SZ,20250329,20241231,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,9675337.0,0.7051,0.8529,-1702740.0,开放式投资基金
300748.SZ,20250329,20241231,赣州格硕投资管理中心(有限合伙),8603174.0,0.627,0.7584,0.0,投资公司
300748.SZ,20250329,20241231,香港中央结算有限公司,7505533.0,0.547,0.6617,,一般企业
