ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
688120.SH,20260423,20260331,清控创业投资有限公司,99460887.0,28.1239,28.1239,0.0,风险投资公司
688120.SH,20260423,20260331,路新春,17682399.0,4.9999,4.9999,0.0,自然人
688120.SH,20260423,20260331,香港中央结算有限公司,17001220.0,4.8073,4.8073,8167427.0,一般企业
688120.SH,20260423,20260331,天津科海投资发展有限公司,11567907.0,3.2709,3.271,-117600.0,投资公司
688120.SH,20260423,20260331,招商银行股份有限公司-华夏上证科创板50成份交易型开放式指数证券投资基金,8558549.0,2.42,2.42,-1119042.0,开放式投资基金
688120.SH,20260423,20260331,雒建斌,7946040.0,2.2468,2.2469,-218907.0,自然人
688120.SH,20260423,20260331,清津厚德(济南)科技合伙企业(有限合伙),7346024.0,2.0771,2.0772,0.0,一般企业
688120.SH,20260423,20260331,中国农业银行股份有限公司-东方人工智能主题混合型证券投资基金,5719234.0,1.6171,1.6172,,开放式投资基金
688120.SH,20260423,20260331,广发证券股份有限公司-国泰中证半导体材料设备主题交易型开放式指数证券投资基金,5642398.0,1.5954,1.5955,,开放式投资基金
688120.SH,20260423,20260331,中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF),5377268.0,1.5204,1.5205,,开放式投资基金
688120.SH,20260423,20251231,清控创业投资有限公司,99460887.0,28.1239,28.1239,0.0,风险投资公司
688120.SH,20260423,20251231,路新春,17682399.0,4.9999,4.9999,-3315647.0,自然人
688120.SH,20260423,20251231,天津科海投资发展有限公司,11685507.0,3.3042,3.3042,0.0,投资公司
688120.SH,20260423,20251231,招商银行股份有限公司-华夏上证科创板50成份交易型开放式指数证券投资基金,9677591.0,2.7364,2.7365,1046425.0,开放式投资基金
688120.SH,20260423,20251231,中国工商银行股份有限公司-易方达上证科创板50成份交易型开放式指数证券投资基金,9180079.0,2.5957,2.5958,138344.0,开放式投资基金
688120.SH,20260423,20251231,香港中央结算有限公司,8833793.0,2.4978,2.4979,3556144.0,一般企业
688120.SH,20260423,20251231,雒建斌,8164947.0,2.3087,2.3088,-190271.0,自然人
688120.SH,20260423,20251231,清津厚德(济南)科技合伙企业(有限合伙),7346024.0,2.0771,2.0772,0.0,一般企业
688120.SH,20260423,20251231,中信证券股份有限公司-嘉实上证科创板芯片交易型开放式指数证券投资基金,5621790.0,1.5896,1.5896,15790.0,开放式投资基金
688120.SH,20260423,20251231,招商证券资管-朱煜-招商资管臻享价值2023031号单一资产管理计划,4152678.0,1.1742,1.1742,-600000.0,券商集合资产管理计划
688120.SH,20251031,20250930,清津厚德(济南)科技合伙企业(有限合伙),7346024.0,2.0786,2.0786,-11496267.0,一般企业
688120.SH,20251031,20250930,中信证券股份有限公司-嘉实上证科创板芯片交易型开放式指数证券投资基金,5606000.0,1.5862,1.5863,525634.0,开放式投资基金
688120.SH,20251031,20250930,招商证券资管-朱煜-招商资管臻享价值2023031号单一资产管理计划,4752678.0,1.3448,1.3448,0.0,券商集合资产管理计划
688120.SH,20250829,20250630,天津科海投资发展有限公司,7931884.0,3.3506,3.3507,0.0,投资公司
688120.SH,20250829,20250630,路新春,14092648.0,5.9531,5.9532,0.0,自然人
688120.SH,20250829,20250630,清控创业投资有限公司,66752273.0,28.1982,28.1982,,风险投资公司
688120.SH,20250829,20250630,中信证券股份有限公司-嘉实上证科创板芯片交易型开放式指数证券投资基金,3933655.0,1.6616,1.6617,873750.0,开放式投资基金
688120.SH,20250429,20250331,中信证券股份有限公司-嘉实上证科创板芯片交易型开放式指数证券投资基金,3059905.0,1.2925,1.8002,,开放式投资基金
688120.SH,20250429,20250331,香港中央结算有限公司,4036449.0,1.7051,2.3748,-1680485.0,一般企业
688120.SH,20250429,20250331,中国工商银行股份有限公司-易方达上证科创板50成份交易型开放式指数证券投资基金,5713201.0,2.4134,3.3612,-230430.0,开放式投资基金
688120.SH,20250429,20250331,招商银行股份有限公司-华夏上证科创板50成份交易型开放式指数证券投资基金,8012183.0,3.3845,4.7138,-1220299.0,开放式投资基金
688120.SH,20250429,20250331,路新春,14092648.0,5.9531,8.2911,0.0,自然人
688120.SH,20250429,20241231,雒建斌,6005921.0,2.537,3.5335,-536696.0,自然人
688120.SH,20250429,20241231,招商证券资管-朱煜-招商资管臻享价值2023031号单一资产管理计划,3751462.0,1.5847,2.2071,0.0,券商集合资产管理计划
688120.SH,20250429,20241231,清津立德(天津)科技合伙企业(有限合伙),3157827.0,1.3339,1.8578,0.0,一般企业
688120.SH,20241030,20240930,中国工商银行股份有限公司-易方达上证科创板50成份交易型开放式指数证券投资基金,6670829.0,2.8179,3.9246,3165168.0,开放式投资基金
688120.SH,20241030,20240930,清津立德(天津)科技合伙企业(有限合伙),3157827.0,1.3339,1.8578,1038480.0,一般企业
688120.SH,20241030,20240930,中国建设银行股份有限公司-南方信息创新混合型证券投资基金,2660320.0,1.1238,1.5651,,开放式投资基金
