ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
920394.BJ,20260413,20260331,中国工商银行股份有限公司-汇添富科技创新灵活配置混合型证券投资基金,1477604.0,1.0103,1.0178,577228.0,开放式投资基金
920394.BJ,20260413,20260331,开源证券股份有限公司,1182036.0,0.8082,0.8142,-260043.0,金融机构—证券公司
920394.BJ,20260413,20260331,中国工商银行股份有限公司-易方达价值精选混合型证券投资基金,875078.0,0.5983,0.6028,,开放式投资基金
920394.BJ,20260413,20260331,广发证券股份有限公司客户信用交易担保证券账户,778838.0,0.5325,0.5365,,其他金融产品
920394.BJ,20260413,20260331,中国建设银行股份有限公司-博时军工主题股票型证券投资基金,698812.0,0.4778,0.4814,,开放式投资基金
920394.BJ,20260413,20260331,中国银行股份有限公司-易方达战略新兴产业股票型证券投资基金,856866.0,0.5859,0.5902,,开放式投资基金
920394.BJ,20260413,20260331,招商银行股份有限公司-兴全合泰混合型证券投资基金,1528290.0,1.045,1.0527,,开放式投资基金
920394.BJ,20260413,20260331,上海晨耀私募基金管理有限公司-晨鸣9号私募证券投资基金,700000.0,0.4786,0.4822,-200000.0,其他金融产品
920394.BJ,20260413,20260331,中国农业银行股份有限公司-华夏北交所创新中小企业精选两年定期开放混合型发起式证券投资基金,755813.0,0.5168,0.5206,-153218.0,开放式投资基金
920394.BJ,20260413,20260331,泰和新材集团股份有限公司,96860000.0,66.2291,66.7205,0.0,一般企业
920394.BJ,20260319,20251231,泰和新材集团股份有限公司,96860000.0,66.2291,66.7205,0.0,一般企业
920394.BJ,20260319,20251231,开源证券股份有限公司,1442079.0,0.986,0.9934,-193199.0,金融机构—证券公司
920394.BJ,20260319,20251231,北京诚旸投资有限公司-诚旸2号私募证券投资基金,1110788.0,0.7595,0.7651,-446094.0,其他金融产品
920394.BJ,20260319,20251231,国泰海通证券股份有限公司客户信用交易担保证券账户,943263.0,0.645,0.6498,,其他金融产品
920394.BJ,20260319,20251231,中国农业银行股份有限公司-华夏北交所创新中小企业精选两年定期开放混合型发起式证券投资基金,909031.0,0.6216,0.6262,-472646.0,开放式投资基金
920394.BJ,20260319,20251231,中国工商银行股份有限公司-汇添富科技创新灵活配置混合型证券投资基金,900376.0,0.6156,0.6202,0.0,开放式投资基金
920394.BJ,20260319,20251231,上海晨耀私募基金管理有限公司-晨鸣9号私募证券投资基金,900000.0,0.6154,0.62,-130000.0,其他金融产品
920394.BJ,20260319,20251231,中国工商银行股份有限公司-汇添富北交所创新精选两年定期开放混合型证券投资基金,644285.0,0.4405,0.4438,-814813.0,开放式投资基金
920394.BJ,20260319,20251231,上海浦东发展银行股份有限公司-博时创新经济混合型证券投资基金,573545.0,0.3922,0.3951,,开放式投资基金
920394.BJ,20260319,20251231,华泰证券股份有限公司客户信用交易担保证券账户,512230.0,0.3502,0.3528,-653933.0,其他金融产品
920394.BJ,20251016,20250930,北京诚旸投资有限公司-诚旸2号私募证券投资基金,1556882.0,1.0645,1.0751,1090001.0,其他金融产品
920394.BJ,20251016,20250930,泰和新材集团股份有限公司,96860000.0,66.2291,66.8859,,一般企业
920394.BJ,20251016,20250930,周建,997258.0,0.6819,0.6886,-474324.0,自然人
920394.BJ,20251016,20250930,开源证券股份有限公司,1635278.0,1.1181,1.1292,5000.0,金融机构—证券公司
920394.BJ,20251016,20250930,上海晨耀私募基金管理有限公司-晨鸣12号私募证券投资基金,1030000.0,0.7043,0.7113,,其他金融产品
920394.BJ,20251016,20250930,上海晨耀私募基金管理有限公司-晨鸣9号私募证券投资基金,1030000.0,0.7043,0.7113,520000.0,其他金融产品
920394.BJ,20251016,20250930,中国工商银行股份有限公司-汇添富科技创新灵活配置混合型证券投资基金,900376.0,0.6156,0.6217,,开放式投资基金
920394.BJ,20251016,20250930,中国工商银行股份有限公司-汇添富北交所创新精选两年定期开放混合型证券投资基金,1459098.0,0.9977,1.0076,197691.0,开放式投资基金
920394.BJ,20251016,20250930,华泰证券股份有限公司客户信用交易担保证券账户,1166163.0,0.7974,0.8053,,其他金融产品
920394.BJ,20251016,20250930,中国农业银行股份有限公司-华夏北交所创新中小企业精选两年定期开放混合型发起式证券投资基金,1381677.0,0.9447,0.9541,168689.0,开放式投资基金
920394.BJ,20250723,20250630,中国工商银行股份有限公司-汇添富北交所创新精选两年定期开放混合型证券投资基金,1261407.0,0.8625,2.6305,-303004.0,开放式投资基金
920394.BJ,20250411,20250331,中国工商银行股份有限公司-汇添富北交所创新精选两年定期开放混合型证券投资基金,1564411.0,1.0697,3.2623,1031674.0,开放式投资基金
920394.BJ,20250411,20250331,周建,1222597.0,0.836,2.5495,,自然人
920394.BJ,20250411,20250331,中国农业银行股份有限公司-华夏北交所创新中小企业精选两年定期开放混合型发起式证券投资基金,1077912.0,0.737,2.2478,259200.0,开放式投资基金
920394.BJ,20250411,20250331,中国工商银行股份有限公司-汇添富碳中和主题混合型证券投资基金,960184.0,0.6565,2.0023,,开放式投资基金
920394.BJ,20250411,20250331,北京诚旸投资有限公司-诚旸2号私募证券投资基金,863335.0,0.5903,1.8003,,其他金融产品
920394.BJ,20250411,20250331,上海晨鸣私募基金管理有限公司-晨鸣9号私募证券投资基金,600000.0,0.4103,1.2512,140000.0,其他金融产品
920394.BJ,20250411,20250331,中国工商银行股份有限公司-汇添富盈鑫灵活配置混合型证券投资基金,585348.0,0.4002,1.2207,,开放式投资基金
920394.BJ,20250319,20241231,中国农业银行股份有限公司-华夏北交所创新中小企业精选两年定期开放混合型发起式证券投资基金,818712.0,0.5598,1.7073,-605416.0,开放式投资基金
920394.BJ,20250319,20241231,陆贵新,580000.0,0.3966,1.2095,,自然人
920394.BJ,20250319,20241231,中国工商银行股份有限公司-汇添富北交所创新精选两年定期开放混合型证券投资基金,532737.0,0.3643,1.1109,-413189.0,开放式投资基金
